stock_code,top10_ratio_latest,report_count,top10_ratio_std,long_term_institution_count,institution_count_current,turnover_avg,latest_report_date,data_sufficient,filter_mode
600726,83.65,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
001286,83.62,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
000617,83.42999999999999,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
600688,83.38,1,,0.0,2.0,0.0,2025-12-31,False,relaxed
601111,83.27,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601003,83.12,1,,0.0,2.0,0.0,2026-03-04,False,relaxed
600362,83.06,1,,0.0,6.0,0.0,2025-09-30,False,relaxed
603260,83.02,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688248,82.97,1,,0.0,3.0,0.0,2026-01-15,False,relaxed
000088,82.62,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601995,82.61,1,,0.0,5.0,0.0,2025-11-19,False,relaxed
000800,82.57,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
605577,82.52,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
003039,82.47,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600029,82.42999999999999,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
600600,82.41,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688432,82.31,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
603013,82.22,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
688347,82.19,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601059,82.17,1,,0.0,3.0,0.0,2025-11-19,False,relaxed
603786,81.92999999999999,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688082,81.80999999999999,1,,0.0,4.0,0.0,2026-02-06,False,relaxed
688433,81.72,1,,0.0,6.0,0.0,2025-09-30,False,relaxed
603392,81.69,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601139,81.65,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
603056,81.61,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
601698,81.59,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
000791,81.47,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
605011,81.41,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
301565,81.37,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600023,81.32000000000001,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
300969,81.2,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601279,81.13,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601801,80.85,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601330,80.77,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688569,80.61,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
603395,80.46,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002153,80.32,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
688981,80.3,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
301526,80.28,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
601328,80.01,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688303,80.0,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
600675,79.67999999999999,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
000755,79.61,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002946,79.55999999999999,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002265,79.53,1,,0.0,4.0,0.0,2025-09-30,False,relaxed
001356,79.51,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
603093,79.39,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601231,79.33,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
603833,79.19,1,,0.0,7.0,0.0,2025-09-30,False,relaxed
601949,79.11,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002653,79.1,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600015,79.03,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
600746,79.00999999999999,1,,0.0,6.0,0.0,2025-09-30,False,relaxed
301004,79.0,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
000517,78.99,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
605598,78.92,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
000544,78.9,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
000719,78.89,1,,0.0,5.0,0.0,2025-09-30,False,relaxed
600657,78.76,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
600339,78.54,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
000031,78.47,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
301102,78.42,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
603661,78.41,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
688183,78.26,1,,0.0,3.0,0.0,2025-09-30,False,relaxed
601969,78.23,1,,0.0,2.0,0.0,2026-01-28,False,relaxed
300765,78.03999999999999,1,,0.0,5.0,0.0,2025-12-31,False,relaxed
301217,77.97999999999999,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
002594,77.85000000000001,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
605255,77.83,1,,0.0,2.0,0.0,2025-11-04,False,relaxed
601828,77.83,1,,0.0,2.0,0.0,2025-09-30,False,relaxed
